Account Name,Opportunity Name,Stage,Close Date,Created Date,Type,Total ACV,Primary Campaign Source,Closed Lost Reason,Law Firm Practice Area,NumofLawyers
"Bieser, Greer & Landis, LLP","Bieser, Greer & Landis, LLP-New-[O-6684]",Won,3/26/23,8/12/22,New,31140,Coyote Transfer Opp,,Business Organizations; Construction; Criminal; Family; Healthcare; Personal Injury,15
Slovak Baron & Empey LLP,Slovak Baron & Empey LLP-New-[O-6138],Lost,4/7/24,6/20/22,New,31200,Coyote Transfer Opp,Inertia (Provide Details),,25
"Brennan, Manna & Diamond, LLC","Brennan, Manna & Diamond, LLC-Cross-Sell-[O-5549]",Lost,6/14/24,4/1/22,Cross-Sell,31200,Inbound-ContactEase-DemoRequest,Inertia (Provide Details),Appellate,86
Whiteman Osterman & Hanna LLP,Whiteman Osterman & Hanna LLP-Cross-Sell-[O-9557],Lost,6/13/24,11/16/23,Cross-Sell,31400.04,No Known Campaign Source,Inertia (Provide Details),Corporate & Securities; Education; Environmental,103
"Paule Camazine & Blumenthal, PC","Paule Camazine & Blumenthal, PC-New-[O-2986]",Lost,1/19/23,2/17/20,New,31500,LMS Mobile Launch,Inertia (Provide Details),,26
Murtha Cullina LLP,Murtha Cullina LLP-Upsell-[O-7401],Lost,6/12/24,1/25/23,Upsell,31620,Cold Call,Inertia (Provide Details),Environmental; Government; Healthcare; Insurance; Litigation; Municipal; Real Estate,77
Cable Huston LLP,Cable Huston LLP-Upsell-[O-7774],Won,6/30/23,4/4/23,Upsell,31872,Cold Call,,Bankruptcy; Business Organizations; Corporate Governance; Energy; Environmental; Finance & Banking; Government; Land Use & Zoning; Litigation; Municipal; Natural Resources; Other; Real Estate; Tax; Trusts & Estates; Utilities; Water,27
"Christovich & Kearney, LLP","Christovich & Kearney, LLP-Upsell-[O-8420]",Won,8/14/23,6/20/23,Upsell,31884,Cold Call,,Appellate,18
"Branstetter, Stranch & Jennings, PLLC","Branstetter, Stranch & Jennings, PLLC-Upsell-[O-7531]",Won,2/24/23,2/22/23,Upsell,31884,DEMO REQUEST-Coyote Cloud-102022,,,12
"Schlack Ito, A Limited Liability Law Company","Schlack Ito, A Limited Liability Law Company-Upsell-[O-7114]",Open,11/15/24,10/31/22,Upsell,31884,Cold Call,,Business Organizations; Corporate & Securities; Family; Finance & Banking; Government; Other; Real Estate,14
"Funk & Bolton, P.A.","Funk & Bolton, P.A.-Upsell-[O-6304]",Lost,6/12/24,7/6/22,Upsell,31884,No Known Campaign Source,Inertia (Provide Details),Financing & Banking; Government; Insurance; Litigation; Public Finance,14
"Stebelton Snider, LPA","Stebelton Snider, LPA-Upsell-[O-6295]",Lost,11/17/23,7/6/22,Upsell,31884,Check-in Call,Inertia (Provide Details),Appellate; Business Organizations; Commercial; Criminal; Energy; Environmental; Family; Finance & Banking; Land Use & Zoning; Litigation; Oil & Gas; Other; Personal Injury; Real Estate; Trusts & Estates,10
Stephenson Rife LLP,Stephenson Rife LLP-Upsell-[O-6357],Lost,10/9/23,7/6/22,Upsell,31884,Check-in Call,Price (Provide Details),Business Organizations; Education; Other; Personal Injury; Real Estate; Trusts & Estates,9
"Stichter, Riedel, Blain & Prosser, P.A.","Stichter, Riedel, Blain & Prosser, P.A.-Upsell-[O-6334]",Lost,6/13/24,7/6/22,Upsell,31884,Cold Call,Inertia (Provide Details),Bankruptcy; Commercial; Other; Trusts & Estates,13
"Sutter, O'Connell","Sutter, O'Connell-Upsell-[O-6314]",Lost,8/19/24,7/6/22,Upsell,31884,Check-in Call,Inertia (Provide Details),Appellate; Class Actions; Commercial; Construction; Environmental; Government; Intellectual Property; Land Use & Zoning; Medical Malpractice; Other; Product Liability; Professional Responsibility; Trademark; Transportation,11
"The Simon Law Firm, PC","The Simon Law Firm, PC-Upsell-[O-6312]",Lost,2/8/23,7/6/22,Upsell,31884,Check-in Call,Inertia (Provide Details),Class Actions; Intellectual Property; Medical Malpractice; Other; Personal Injury,13
"Wells, Anderson & Race","Wells, Anderson & Race-Upsell-[O-6313]",Lost,2/6/23,7/6/22,Upsell,31884,Check-in Call,Price (Provide Details),Appellate; Aviation; Commercial; Construction; Insurance; Labor & Employment; Litigation; Product Liability; Transportation; Trial & Appellate Litigation,15
"Wright & Talisman, P.C.","Wright & Talisman, P.C.-Upsell-[O-6350]",Lost,6/12/24,7/6/22,Upsell,31884,No Known Campaign Source,Inertia (Provide Details),Energy; Oil & Gas,14
"Bartlett Pontiff Stewart & Rhodes, P.C.","Bartlett Pontiff Stewart & Rhodes, P.C.-Upsell-[O-6341]",Lost,6/12/24,7/6/22,Upsell,31920,Check-in Call,Inertia (Provide Details),Appellate; Commercial; Corporate & Securities; Education; Elder Law; Family; Insurance; Land Use & Zoning; Litigation; Municipal; Other; Personal Injury; Tax; Trusts & Estates,17
The Grosshans Group,The Grosshans Group-New-[O-11513],Lost,10/17/24,8/13/24,New,32010,BDR Outreach,Inertia (Provide Details),,11
Schmiedeskamp Robertson Neu & Mitchell LLP,Schmiedeskamp Robertson Neu & Mitchell LLP-New-[O-8347],Lost,6/20/24,6/15/23,New,32160,Website Demo + Contact Us - Form Submissions,Inertia (Provide Details),,17
Drake Loeb PLLC,Drake Loeb PLLC-New-[O-9874],Lost,4/15/24,2/2/24,New,32328,Consultant,Price (Provide Details),,13
Anderson Kill Olick,Anderson Kill Olick-New-[O-9049],Lost,6/3/24,8/9/23,New,32400,WR-Demo Request-0222-Solutions Overview:ContactEase-PG1137A1,Inertia (Provide Details),,71
"Nilan Johnson Lewis, PA","Nilan Johnson Lewis, PA-Cross-Sell-[O-5745]",Lost,6/14/24,4/22/22,Cross-Sell,32400,LMA-PartyDEMOrequests-032422,Inertia (Provide Details),Corporate & Securities; Healthcare; Labor & Employment; Litigation; Product Liability,60
"Hupp Margolis & Leak, LLC","Hupp Margolis & Leak, LLC-Upsell-[O-11463]",Won,8/5/24,8/1/24,Upsell,32448,No Known Campaign Source,,Class Actions; Medical Malpractice; Personal Injury; Professional Responsibility,5
Maynard Nexsen PC,Maynard Nexsen PC-Upsell-[O-8545],Lost,11/9/23,6/22/23,Upsell,32484,No Known Campaign Source,Inertia (Provide Details),Corporate & Securities; Litigation,568
"Serpe, Jones, Andrews, Callender & Bell, PLLC","Serpe, Jones, Andrews, Callender & Bell, PLLC-New-[O-5413]",Lost,2/16/23,3/10/22,New,33000,Cold Call,Inertia (Provide Details),,31
Silicon Legal Strategy,Silicon Legal Strategy-Upsell-[O-3889],Won,6/17/24,5/7/21,Upsell,33000,Check-in Call,,Commercial Transactions; Corporate & Securities; Mergers & Acquisitions,25
Hahn & Hahn LLP,Hahn & Hahn LLP-Upsell-[O-6354],Won,3/31/23,7/6/22,Upsell,33240,Check-in Call,,Bankruptcy; Environmental; Family; Labor & Employment; Land Use & Zoning; Litigation; Other; Real Estate; Trusts & Estates,21
"Nall & Miller, LLP","Nall & Miller, LLP-New-[O-5701]",Lost,4/14/23,4/12/22,New,33540,BDR Outreach,Price (Provide Details),Litigation,17
Workman Nydegger,Workman Nydegger-Cross-Sell-[O-8257],Lost,9/7/23,5/22/23,Cross-Sell,33600,email-LMA Annual Conference 2023-Post Show,Functionality (Provide Details),Copyright; Patent; Trademark,49
ATKG LLP,ATKG LLP-New-[O-7445],Lost,6/13/23,1/31/23,New,33600,Website Demo + Contact Us - Form Submissions,Functionality (Provide Details),,0
Watanabe Ing,Watanabe Ing-Upsell-[O-12068],Open,12/31/24,10/25/24,Upsell,33667.92,Check-in Call,,Construction; Environmental; Finance & Banking; Government; Intellectual Property; Labor & Employment; Litigation; Other; Trial & Appellate Litigation; Utilities,22
"Henry Oddo Austin & Fletcher, A Professional Corporation","Henry Oddo Austin & Fletcher, A Professional Corporation-New-[O-9997]",Lost,4/23/24,2/20/24,New,33720,email-PracticeMgmtOverview-WhySurePoint-101223,Functionality (Provide Details),,11
Sheehey Furlong & Behm,Sheehey Furlong & Behm-New-[O-7205],Won,7/31/23,12/1/22,New,33756,CB-Chat-Terminus-DemoRequest-SurePoint,,Arbitration,22
Weissman PC,Weissman PC-Upsell-[O-10752],Won,7/18/24,5/14/24,Upsell,34020,webinar-Coyote Practice Management for ON PREM-050924,,Arbitration; Commercial; Environmental; Government; Land Use & Zoning; Litigation; Mediation; Other; Real Estate; Tax; Water,48
Mark Migdal & Hayden,Mark Migdal & Hayden-New-[O-4955],Lost,1/25/24,12/2/21,New,34200,Website Demo + Contact Us - Form Submissions,Inertia (Provide Details),Commercial; Litigation,13
"Parker, Hudson, Rainer & Dobbs LLP","Parker, Hudson, Rainer & Dobbs LLP-New-[O-7364]",Lost,6/13/24,1/13/23,New,34800,Website Demo + Contact Us - Form Submissions,Inertia (Provide Details),,60
"Hershner Hunter, LLP","Hershner Hunter, LLP-Upsell-[O-3488]",Lost,5/8/24,12/8/20,Upsell,34800,LMS Mobile Launch,Price (Provide Details),Employee Benefits; Labor & Employment; Real Estate; Trusts & Estates,19
"Taylor & Anderson, LLP","Taylor & Anderson, LLP-New-[O-6262]",Lost,6/15/23,6/28/22,New,34944,Coyote Transfer Opp,Inertia (Provide Details),,33
Yankwitt LLP,Yankwitt LLP-New-[O-9636],Won,6/3/24,12/7/23,New,35000.04,Demo Requests-Coyote-Website MQLs-071322,,Bankruptcy; Immigration; Mediation,16
Rudnicki,Rudnicki-New-[O-8929],Open,12/31/24,7/26/23,New,35000.04,Demo Requests-Coyote-Website MQLs-071322,,Litigation,7
"Barrasso Usdin Kupperman Freeman & Sarver, L.L.C.","Barrasso Usdin Kupperman Freeman & Sarver, L.L.C.-Upsell-[O-6554]",Won,6/4/24,7/19/22,Upsell,35100,IGNITE-2023-registrants-013023,,Appellate; Arbitration; Class Actions; Commercial; Environmental; Insurance; International; Litigation; Other; Product Liability; Regulatory,28
"Worden Thane, PC","Worden Thane, PC-New-[O-11121]",Open,11/22/24,6/17/24,New,35437.44,TS-National ALA Booth Visitors 2024,,,17
"Hurrell Cantrall, LLP","Hurrell Cantrall, LLP-Upsell-[O-11950]",Open,12/31/24,10/2/24,Upsell,35448,Check-in Call,,Environmental; Labor & Employment; Product Liability,20
"Teitler & Teitler, LLP","Teitler & Teitler, LLP-Upsell-[O-6547]",Lost,6/12/24,7/19/22,Upsell,35448,Check-in Call,Inertia (Provide Details),Family; Real Estate; Trusts & Estates,17
"Woodard, Emhardt, Henry, Reeves & Wagner","Woodard, Emhardt, Henry, Reeves & Wagner-New-[O-6133]",Won,9/8/23,6/16/22,New,35460,WR-Demo Request-0622-ABM Elite-PG1084A1,,Copyright; Litigation; Patent,23
Miller Nash LLP,Miller Nash LLP-Upsell-[O-5976],Lost,6/12/24,5/12/22,Upsell,35496.96,Check-in Call,Inertia (Provide Details),,148
"Kessler & Collins, A Professional Corporation","Kessler & Collins, A Professional Corporation-Upsell-[O-6419]",Won,4/30/24,7/12/22,Upsell,35880,Coyote Transfer Opp,,Bankruptcy; Business Organizations; Commercial; Construction; Corporate & Securities; Healthcare; Insurance; Intellectual Property; Litigation; Oil & Gas; Other; Professional Responsibility; Real Estate; Sports; Trusts & Estates,23
Bianchi Brandt,Bianchi Brandt-New-[O-9541],Lost,11/27/23,11/13/23,New,36000,Referred by Vendor,Price (Provide Details),Business Organizations; Cannibis; Corporate Governance; Finance & Banking; Labor & Employment; Real Estate,7
Harter Secrest & Emery LLP,Harter Secrest & Emery LLP-New-[O-9296],Lost,4/19/24,9/23/23,New,36000,webinar-ContactEase CRM-Business Development Tracking-071823,Feature (Provide Details),,120
Cades Schutte,Cades Schutte-Cross-Sell-[O-7652],Lost,4/26/24,3/16/23,Cross-Sell,36000,Demo Request-Inbound ContactEase Cross-Sells,Inertia (Provide Details),Insurance; Intellectual Property,81
"High Swartz, LLP","High Swartz, LLP-Upsell-[O-6320]",Lost,6/12/24,7/6/22,Upsell,36180,No Known Campaign Source,Inertia (Provide Details),Appellate; Construction; Criminal; Education; Energy; Environmental; Family; Government; Immigration; Intellectual Property; Labor & Employment; Litigation; Municipal; Nonprofit Organizations; Other; Personal Injury; Real Estate; Workers Compensation,24
"Coolidge Wall Co., L.P.A.","Coolidge Wall Co., L.P.A.-Upsell-[O-9743]",Lost,6/12/24,1/5/24,Upsell,36252,No Known Campaign Source,Inertia (Provide Details),Corporate & Securities; Real Estate; Tax,39
Meissner Tierney Fisher & Nichols S.C.,Meissner Tierney Fisher & Nichols S.C.-Upsell-[O-12044],Open,11/27/24,10/18/24,Upsell,36960,Cold Call,,Antitrust,22
Marten Law Group PLLC,Marten Law Group PLLC-Upsell-[O-10351],Open,11/29/24,3/28/24,Upsell,37200,Check-in Call,,Environmental; Mining; Water,23
Desmarais LLP,Desmarais LLP-New-[O-8920],Lost,8/24/23,7/24/23,New,37200,webinar-ContactEase CRM-Business Development Tracking-071823,Feature (Provide Details),,85
Faruki PLL,Faruki PLL-Upsell-[O-7456],Won,6/14/23,2/2/23,Upsell,37200,No Known Campaign Source,,Antitrust; Commercial; Intellectual Property,17
Kaufman Borgeest & Ryan LLP,Kaufman Borgeest & Ryan LLP-Cross-Sell-[O-10441],Open,12/19/24,4/2/24,Cross-Sell,37440,BDR Outreach,,Corporate & Securities; Medical Malpractice; Personal Injury,127
"Russell, Krafft & Gruber, LLP","Russell, Krafft & Gruber, LLP-New-[O-11779]",Open,12/31/24,9/12/24,New,37500,TS-National ALA Booth Visitors 2024,,,15
Unruh Turner Burke & Frees,Unruh Turner Burke & Frees-New-[O-11512],Open,12/27/24,8/13/24,New,37500,OA-demo request-Coyote-ALA ad-020323,,,23
"Hauptman Ham, Llp","Hauptman Ham, Llp-New-[O-11423]",Open,12/20/24,7/26/24,New,37500,Cold Call,,,18
Stagg Wabnik Law Group,Stagg Wabnik Law Group-New-[O-11392],Lost,9/16/24,7/22/24,New,37500,WR-Demo Request-Website-SurePoint.com-PG1142A1,Feature (Provide Details),,14
"Thrasher, Dinsmore & Dolan","Thrasher, Dinsmore & Dolan-New-[O-10654]",Lost,6/26/24,4/24/24,New,37500,WR-Demo Request-Website-SurePoint.com-PG1142A1,Feature (Provide Details),,21
"Brenner, Saltzman & Wallman LLP","Brenner, Saltzman & Wallman LLP-New-[O-10438]",Open,12/20/24,4/1/24,New,37500,BDR Outreach,,,21
"The Laiderman Law Firm, P.C.","The Laiderman Law Firm, P.C.-New-[O-10184]",Lost,7/15/24,3/13/24,New,37500,email-Monthly Newsletter-FEBRUARY 2024,Functionality (Provide Details),,6
White Bear Ankele Tonaka & Waldron,White Bear Ankele Tonaka & Waldron-New-[O-10186],Lost,8/20/24,3/13/24,New,37500,Created from Salesforce,Inertia (Provide Details),,20
"MacMillan, Sobanski & Todd, LLC","MacMillan, Sobanski & Todd, LLC-New-[O-10161]",Lost,10/25/24,3/7/24,New,37500,BDR Outreach,Inertia (Provide Details),,21
"Gross, Shuman, Brizdle & Gilfillan, P.C.","Gross, Shuman, Brizdle & Gilfillan, P.C.-New-[O-10158]",Lost,9/30/24,3/6/24,New,37500,OA-GoogleAds-0824-BlackPropeller Practice Management-PG1158A1,Price (Provide Details),,26
Hayes Scott Bonino Ellingson & Guslani LLP,Hayes Scott Bonino Ellingson & Guslani LLP-New-[O-9939],Lost,9/30/24,2/8/24,New,37500,Cold Call,Inertia (Provide Details),Appellate; Commercial; Insurance; Intellectual Property; Litigation; Professional Responsibility,17
Shay Glenn,Shay Glenn-New-[O-9830],Open,12/31/24,1/29/24,New,37500,WR-Demo Request-Website-SurePoint.com-PG1142A1,,,12
"ARMIENTI, DEBELLIS, GUGLIELMO & RHODEN, LLP","ARMIENTI, DEBELLIS, GUGLIELMO & RHODEN, LLP-New-[O-9662]",Lost,3/7/24,12/12/23,New,37500,Website Demo + Contact Us - Form Submissions,Inertia (Provide Details),,13
Anderson O'Brien Law Firm,Anderson O'Brien Law Firm-New-[O-9574],Lost,9/4/24,11/17/23,New,37500,BDR Outreach,Inertia (Provide Details),,18
"Starr, Gern, Davison & Rubin, P.C.","Starr, Gern, Davison & Rubin, P.C.-New-[O-9452]",Lost,10/9/24,10/25/23,New,37500,Cold Call,Inertia (Provide Details),,20
Gates Shields Ferguson Swall Hammond,Gates Shields Ferguson Swall Hammond-New-[O-9448],Lost,4/23/24,10/24/23,New,37500,WR-Demo Request-Website-SurePoint.com-PG1142A1,Inertia (Provide Details),,12
Lakin Spears LLP,"Lakin  Spears, LLP-New-[O-9357]",Lost,1/3/24,10/11/23,New,37500,Website Demo + Contact Us - Form Submissions,Functionality (Provide Details),Business Organizations; Family; Real Estate,15
Monahan Law Group,Monahan Law Group-New-[O-9206],Lost,6/20/24,9/5/23,New,37500,BDR Outreach,Inertia (Provide Details),Elder Law; Family,17
Hornberger Fuller Garza & Cohen,Hornberger Fuller Garza & Cohen-New-[O-9204],Lost,4/19/24,9/1/23,New,37500,BDR Outreach,Inertia (Provide Details),,12
"McShane & Bowie, PLC","McShane & Bowie, PLC-New-[O-9186]",Lost,12/28/23,8/30/23,New,37500,BDR Outreach,Inertia (Provide Details),,20
Hebbler & Giordano,Hebbler & Giordano-New-[O-9131],Lost,5/20/24,8/25/23,New,37500,IB-LeadGen-Demo-INBOUND,Inertia (Provide Details),,11
Jordan Price,Jordan Price-New-[O-9121],Lost,4/2/24,8/25/23,New,37500,DEMO REQUEST-Coyote Cloud-102022,Feature (Provide Details),,18
"King & Jurgens, P.L.L.C.","King & Jurgens, P.L.L.C.-New-[O-9127]",Lost,5/15/24,8/25/23,New,37500,email-Coyote Business Intelligence-081523,Functionality (Provide Details),,21
"Hermes Law, P.C.","Hermes Law, P.C.-New-[O-9099]",Lost,4/22/24,8/21/23,New,37500,WR-Demo Request-Website-SurePoint.com-PG1142A1,Inertia (Provide Details),,17
"Van De Poel, Levy, Thomas LLP","Van De Poel, Levy & Allen-New-[O-9028]",Lost,9/7/23,8/2/23,New,37500,BDR Outreach,Inertia (Provide Details),,20
Kibler Fowler & Cave,Kibler Fowler & Cave-New-[O-9016],Lost,1/2/24,7/31/23,New,37500,BDR Outreach,Feature (Provide Details),,15
Gould Cooksey Fennell,"Gould, Cooksey, Fennell, O'Neill, Marine, Carter &-New-[O-8838]",Lost,8/8/23,7/13/23,New,37500,BDR Outreach,Inertia (Provide Details),,15
McEwen Gisvold LLP,McEwen Gisvold LLP-New-[O-8683],Lost,8/6/24,6/29/23,New,37500,email - Recover Unpaid Invoices with Payment Plans-062023,Functionality (Provide Details),Business Organizations; Real Estate; Trusts & Estates,17
"Papin Law, PLLC","Papin Law, PLLC-New-[O-8421]",Lost,7/25/23,6/21/23,New,37500,Website Demo + Contact Us - Form Submissions,Functionality (Provide Details),Business Organizations,1
"Groombridge, Wu, Baughman & Stone LLP","Groombridge, Wu, Baughman & Stone LLP-New-[O-8299]",Lost,8/16/23,6/5/23,New,37500,Cold Call,Inertia (Provide Details),,28
Weir Greenblatt Pierce,Weir Greenblatt Pierce-New-[O-8279],Lost,3/27/24,5/30/23,New,37500,Inbound-Demo-ALA,Inertia (Provide Details),,38
Blackburn Domene & Burchett,Blackburn Domene & Burchett-New-[O-8161],Lost,9/7/23,5/9/23,New,37500,BDR Outreach,Inertia (Provide Details),Insurance,12
Beltzer Bangert & Gunnell LLP,Beltzer Bangert & Gunnell LLP-New-[O-7847],Lost,6/30/24,4/18/23,New,37500,Demo Requests-Coyote-Website MQLs-071322,Inertia (Provide Details),,25
Fullerton Beck LLP,Fullerton Beck LLP-New-[O-7648],Lost,3/20/24,3/16/23,New,37500,Website Demo + Contact Us - Form Submissions,Inertia (Provide Details),Appellate; Arbitration; Construction,23
"Singerman Mills Desberg & Kauntz Co., LPA","Singerman Mills Desberg & Kauntz Co., LPA-New-[O-7610]",Lost,10/25/24,3/6/23,New,37500,email-NYLW-2-022823,Inertia (Provide Details),,18
"O'Reilly Rancilio, P.C.","O'Reilly Rancilio, P.C.-New-[O-7566]",Lost,6/15/23,3/3/23,New,37500,BDR Outreach,Inertia (Provide Details),,20
Smith Hartvigsen,Smith Hartvigsen-New-[O-7517],Lost,7/20/24,2/17/23,New,37500,Demo Requests-Coyote-Website MQLs-071322,Inertia (Provide Details),,6
Waldrep Wall Babcock & Bailey PLLC,Waldrep Wall Babcock & Bailey PLLC-New-[O-7356],Won,6/28/23,1/9/23,New,37500,Website Demo + Contact Us - Form Submissions,,Bankruptcy; Business Organizations; Commercial; Healthcare; Litigation; Mediation; Real Estate,16
McCandlish Holton,McCandlish Holton-New-[O-7278],Lost,5/8/23,12/12/22,New,37500,Demo Requests-Coyote-Website MQLs-071322,Inertia (Provide Details),,35
"Rolf & Goffman Co., L.P.A.","Rolf & Goffman Co., L.P.A.-New-[O-7179]",Lost,2/3/23,11/21/22,New,37500,Demo Requests-Coyote-Website MQLs-071322,Functionality (Provide Details),,22
Ferrara Fiorenza Larrison Barrett & Reitz Pc,Ferrara Fiorenza Larrison Barrett & Reitz Pc-New-[O-7171],Lost,4/15/24,11/18/22,New,37500,IB-LeadGen-Demo-INBOUND,Inertia (Provide Details),Education,26
"Long, Ragsdale & Waters, P.C.","Long, Ragsdale & Waters, P.C.-New-[O-7020]",Lost,9/4/24,10/6/22,New,37500,Demo Requests-Coyote-Website MQLs-071322,Inertia (Provide Details),Insurance,19
"Young, Bill, Boles, Palmer, Duke & Thompson, PA","Young, Bill, Boles, Palmer, Duke & Thompson, PA-New-[O-6792]",Lost,1/19/23,8/31/22,New,37500,Cold Call,Functionality (Provide Details),,21
Hirsch Roberts Weinstein LLP,Hirsch Roberts Weinstein LLP-Upsell-[O-6352],Lost,6/12/24,7/6/22,Upsell,37500,Coyote Transfer Opp,Inertia (Provide Details),Education; Labor & Employment; Litigation; Other,23
"Wright, Constable & Skeen, LLP","Wright, Constable & Skeen, LLP-New-[O-6265]",Lost,3/19/24,6/28/22,New,37500,Coyote Transfer Opp,Inertia (Provide Details),Bankruptcy; Construction; Corporate Governance,25
Brown Fox,Brown Fox-New-[O-6184],Lost,11/9/23,6/23/22,New,37500,Coyote Transfer Opp,Inertia (Provide Details),Labor & Employment,19
"Foley, Baron, Metzger & Juip","Foley, Baron, Metzger & Juip-New-[O-6192]",Lost,12/28/23,6/23/22,New,37500,Coyote Transfer Opp,Inertia (Provide Details),Litigation,25
Martson Law Offices,Martson Law Offices-New-[O-6196],Lost,6/28/23,6/23/22,New,37500,Coyote Transfer Opp,Inertia (Provide Details),,14
"Neider & Boucher, S.C.","Neider & Boucher, S.C.-New-[O-6198]",Lost,12/12/23,6/23/22,New,37500,Coyote Transfer Opp,Inertia (Provide Details),,17
"Figari & Davenport, L.L.P.","Figari & Davenport, L.L.P.-New-[O-6168]",Lost,5/20/24,6/22/22,New,37500,Coyote Transfer Opp,Functionality (Provide Details),,18
Ballard Rosenberg Golper & Savitt LLP,Ballard Rosenberg Golper & Savitt LLP-New-[O-6145],Won,8/17/23,6/20/22,New,37500,Coyote Transfer Opp,,Administrative; Class Actions; Commercial; Employee Benefits; Insurance; Trial & Appellate Litigation,25
Preis PLC,Preis PLC-New-[O-6118],Lost,7/10/23,6/14/22,New,37500,WR-Demo Request-0622-ABM Centerbase-PG1082A1,Inertia (Provide Details),,5
"Hoffmann & Baron, LLP","Hoffmann & Baron, LLP-New-[O-2865]",Lost,4/15/24,10/30/19,New,37500,Cold Call,Inertia (Provide Details),Intellectual Property; Patent; Trademark,23
Longleaf Law Partners,Longleaf Law Partners-New-[O-11103],Lost,8/22/24,6/13/24,New,37500.48,TS-National ALA Booth Visitors 2024,Inertia (Provide Details),,19
Hood Law Firm,Hood Law Firm-New-[O-10190],Lost,7/30/24,3/14/24,New,37584,BDR Outreach,Inertia (Provide Details),,22
"Jones, Skelton & Hochuli, P.L.C.","Jones, Skelton & Hochuli, P.L.C.-Cross-Sell-[O-11136]",Open,11/26/24,6/20/24,Cross-Sell,37740,*LMA 2024,,Appellate; Education; Insurance,107
Sklar Kirsh,Sklar Kirsh-Upsell-[O-10686],Open,10/31/24,4/30/24,Upsell,37908,No Known Campaign Source,,Bankruptcy; Construction; Corporate & Securities; Corporate Governance; Energy; Family; Intellectual Property; Litigation; Mergers & Acquisitions; Other; Real Estate; Restructuring,41
Scott Hulse PC,Scott Hulse PC-New-[O-7452],Lost,3/10/23,2/1/23,New,37920,Website Demo + Contact Us - Form Submissions,Functionality (Provide Details),Commercial; Corporate & Securities; Finance & Banking; Immigration; Intellectual Property; Labor & Employment; Litigation; Real Estate,20
FieldLaw LLP,FieldLaw LLP-Upsell-[O-12018],Open,11/29/24,10/14/24,Upsell,38199.96,Check-in Call,,,131
FieldLaw LLP,FieldLaw LLP-Upsell-[O-9585],Lost,6/12/24,11/21/23,Upsell,38199.96,Check-in Call,Inertia (Provide Details),,131
WERNER AHARI MANGEL LLP,WERNER AHARI MANGEL LLP-New-[O-7543],Won,4/3/23,2/24/23,New,38340,Consultant,,Insurance,24
"Ansbacher Law, P.A.","Ansbacher Law, P.A..-New-[O-7524]",Lost,3/28/24,2/21/23,New,38400,Demo Requests-Coyote-Website MQLs-071322,Price (Provide Details),,10
"Foster Swift Collins & Smith, PC","Foster Swift Collins & Smith, PC-Upsell-[O-6643]",Lost,7/7/23,8/8/22,Upsell,38400,No Known Campaign Source,Functionality (Provide Details),,99
"Boyar & Miller, A Professional Corporation","Boyar & Miller, A Professional Corporation-Upsell-[O-9471]",Won,6/21/24,10/27/23,Upsell,38700,Check-in Call,,Energy; Healthcare; Insurance; Litigation; Mergers & Acquisitions; Oil & Gas; Other; Real Estate,33
Paul Ellis Law Group,Paul Ellis Law Group-New-[O-7182],Lost,6/8/23,11/22/22,New,38700,DEMO REQUEST-Coyote Cloud-102022,Functionality (Provide Details),,12
"Stanley Reuter Ross Thornton & Alford, LLC","Stanley Reuter Ross Thornton & Alford, LLC-New-[O-6907]",Lost,5/20/24,9/28/22,New,39000,Referred by Client,Inertia (Provide Details),,12
Ancel Glink,Ancel Glink-New-[O-6599],Lost,9/25/23,7/28/22,New,39000,Demo Requests-Coyote-Website MQLs-071322,Inertia (Provide Details),Litigation,43
"Foley, Baron, Metzger & Juip","Foley, Baron, Metzger & Juip-New-[O-6545]",Lost,2/15/23,7/19/22,New,39000,Coyote Transfer Opp,Inertia (Provide Details),Litigation,25
Shawe Rosenthal LLP,Shawe Rosenthal LLP-New-[O-6434],Lost,3/28/24,7/13/22,New,39000,BDR Outreach,Inertia (Provide Details),,18
"Grossman, Tucker, Perreault & Pfleger, PLLC","Grossman, Tucker, Perreault & Pfleger, PLLC-New-[O-6061]",Lost,5/8/23,6/3/22,New,39000,Website Demo + Contact Us - Form Submissions,Inertia (Provide Details),,9
Willingham and Cote,Willingham and Cote-New-[O-6055],Lost,12/28/23,6/2/22,New,39000,WR-Demo Request-0422-ALA 2022 Raffle-PG1067A1,Inertia (Provide Details),Litigation,14
"Lindner & Marsack, S.C.","Lindner & Marsack, S.C.-New-[O-5712]",Lost,10/15/24,4/14/22,New,39000,BDR Outreach,Inertia (Provide Details),,23
Hayes Scott Bonino Ellingson & Guslani LLP,Hayes Scott Bonino Ellingson & McLay-New-[O-5709],Lost,5/5/23,4/13/22,New,39000,BDR Outreach,Inertia (Provide Details),Appellate; Commercial; Insurance; Intellectual Property; Litigation; Professional Responsibility,17
"Henningson & Snoxell, Ltd.","Henningson & Snoxell, Ltd.-New-[O-5690]",Lost,5/12/23,4/11/22,New,39000,BDR Outreach,Price (Provide Details),,15
Martin LLP,Martin LLP-New-[O-5699],Lost,2/6/23,4/11/22,New,39000,BDR Outreach,Inertia (Provide Details),,11
MacQueen & Gottlieb,MacQueen & Gottlieb-New-[O-5491],Lost,1/4/23,3/24/22,New,39000,Cold Call,Inertia (Provide Details),Business Organizations; Real Estate,10
