Account Name,Opportunity Name,Stage,Close Date,Created Date,Type,Total ACV,Primary Campaign Source,Closed Lost Reason,Law Firm Practice Area,NumofLawyers
Pitt McGehee Palmer Rivers & Golden,Pitt McGehee Palmer Rivers & Golden-Cross-Sell-[O-6949],Lost,6/14/24,10/5/22,Cross-Sell,9600,webinar - ContactEase and Coyote - ON24-090222,Inertia (Provide Details),Litigation,12
Elam & Burke,Elam & Burke-Cross-Sell-[O-5587],Lost,3/10/23,4/5/22,Cross-Sell,9600,CE Integration Data,Inertia (Provide Details),Commercial; Insurance; Labor & Employment,21
"Kessler & Collins, A Professional Corporation","Kessler & Collins, A Professional Corporation-Cross-Sell-[O-5607]",Lost,7/25/23,4/5/22,Cross-Sell,9600,CE Integration Data,Inertia (Provide Details),Bankruptcy; Business Organizations; Commercial; Construction; Corporate & Securities; Healthcare; Insurance; Intellectual Property; Litigation; Oil & Gas; Other; Professional Responsibility; Real Estate; Sports; Trusts & Estates,23
Jones Foster,Jones Foster-Cross-Sell-[O-11436],Open,11/15/24,7/29/24,Cross-Sell,9792,Cold Call,,Corporate & Securities; Government; Land Use & Zoning; Litigation; Real Estate; Tax; Trusts & Estates,39
Platt Richmond PLLC,Platt Richmond PLLC-Cross-Sell-[O-11435],Lost,8/19/24,7/29/24,Cross-Sell,9792,Cold Call,Feature (Provide Details),,27
"Warner Norcross & Judd, LLP","Warner Norcross & Judd, LLP-Upsell-[O-7478]",Lost,11/1/23,2/8/23,Upsell,10000.08,No Known Campaign Source,Feature (Provide Details),,241
"Bradley Arant Boult Cummings, LLP","Bradley Arant Boult Cummings, LLP-Upsell-[O-7143]",Won,3/31/23,11/4/22,Upsell,10114.56,No Known Campaign Source,,,657
RLG LLP,RLG LLP-Upsell-[O-8307],Lost,6/26/23,6/6/23,Upsell,10344,Check-in Call,Price (Provide Details),Media,6
"Richards, Layton & Finger, P.A.","Richards, Layton & Finger, P.A.-New-[O-7744]",Won,8/24/23,3/27/23,New,10416,Website Demo + Contact Us - Form Submissions,,Bankruptcy; Commercial Transactions; Corporate Governance; Energy; Environmental; Insurance; Intellectual Property; Labor & Employment; Mergers & Acquisitions; Real Estate; Structured Finance; Tax; Trusts & Estates,171
Tucker Arensberg,Tucker Arensberg-Upsell-[O-6588],Won,6/27/24,7/25/22,Upsell,10550.04,No Known Campaign Source,,,90
"Wood & Lamping, LLP","Wood & Lamping, LLP-Upsell-[O-10498]",Won,4/26/24,4/16/24,Upsell,10641.96,No Known Campaign Source,,Bankruptcy; Commercial Finance; Contracts; Elder Law; Family; Government; Healthcare; Immigration; Intellectual Property; International; Labor & Employment; Litigation; Media; Other; Real Estate; Restructuring; Tax; Trademark,41
Simon Peragine Smith & Redfearn,Simon Peragine Smith & Redfearn-Upsell-[O-7768],Lost,4/18/23,4/3/23,Upsell,10716,Cold Call,Functionality (Provide Details),Commercial; Construction; Mediation,29
Waldrep Wall Babcock & Bailey PLLC,Waldrep Wall Babcock & Bailey PLLC-Cross-Sell-[O-11833],Open,12/10/24,9/16/24,Cross-Sell,10800,,,Bankruptcy; Business Organizations; Commercial; Healthcare; Litigation; Mediation; Real Estate,16
"Macdonald Devin, P.C.","Macdonald Devin, P.C.-Upsell-[O-11427]",Won,7/26/24,7/26/24,Upsell,10800,Cold Call,,Appellate; Business Organizations; Commercial; Commercial Transactions; Construction; Healthcare; Insurance; Litigation; Other; Product Liability; Transportation,27
"Walzer Melcher & Yoda, LLP","Walzer Melcher & Yoda, LLP-Upsell-[O-8928]",Lost,4/23/24,7/26/23,Upsell,10800,Check-in Call,Price (Provide Details),Family; Litigation; Other; Tax,7
Peterson Russell Kelly Livengood PLLC,Peterson Russell Kelly Livengood PLLC-Cross-Sell-[O-10684],Open,10/31/24,4/30/24,Cross-Sell,11340,Check-in Call,,Appellate; Construction; Environmental; Healthcare; Insurance; Labor & Employment; Litigation,21
